Taxon,Number_Genes,Full_Exons,95%,90%,80%,70%,50%,10%
A_aegypti,854,2,36,79,241,365,496,802
A_albimanus,892,2,56,115,273,378,551,832
A_arabiensis,845,10,58,135,283,356,547,829
A_atroparvus,410,0,0,0,25,46,112,357
A_christyi,645,0,15,15,93,142,234,588
A_culicifacies_new,651,23,63,102,187,282,426,609
A_darlingi,777,1,52,99,219,339,450,720
A_dirus,840,1,43,141,332,416,523,815
A_epiroticus,542,1,28,28,30,109,207,540
A_farauti,787,5,127,209,252,293,408,786
A_funestris,864,14,66,133,278,361,556,809
A_gambiae,774,6,14,69,235,322,449,717
A_maculatus,520,0,28,35,60,101,224,502
A_melas,584,0,28,45,115,185,295,572
A_merus,654,1,43,71,155,198,308,624
A_minimus_new,679,17,126,166,272,361,509,660
A_quadriannulatus_new,658,1,132,189,254,327,457,632
A_sinensis,589,0,0,4,50,105,218,542
A_stephensi,872,9,39,119,296,383,529,820
C_quinquefasciatus_new,919,1,123,249,411,556,662,875
D_melanogaster,987,7,30,109,303,498,710,979
