count,scg_threshold
0,1.0
2,0.92
28,0.91
93,0.9
247,0.89
558,0.88
805,0.87
1042,0.86
1258,0.85
1441,0.84
1595,0.83
1754,0.82
1874,0.81
1971,0.8
2055,0.79
2132,0.78
2224,0.77
2304,0.76
2349,0.75
2410,0.74
2453,0.73
2500,0.72
2533,0.71
2588,0.7
2646,0.69
2688,0.68
2720,0.67
2752,0.66
2790,0.65
2828,0.64
2868,0.63
2892,0.62
2939,0.61
2974,0.6
2998,0.59
3041,0.58
3069,0.57
3092,0.56
3114,0.55
3137,0.54
3157,0.53
3180,0.52
3209,0.51
3237,0.5
3253,0.49
3277,0.48
3304,0.47
3339,0.46
3363,0.45
3386,0.44
3410,0.43
3433,0.42
3456,0.41
3476,0.4
3501,0.39
3526,0.38
3546,0.37
3572,0.36
3606,0.35
3628,0.34
3652,0.33
3674,0.32
3691,0.31
3714,0.3
3750,0.29
3782,0.28
3813,0.27
3865,0.26
3959,0.25
4061,0.24
4144,0.23
4180,0.22
4228,0.21
4263,0.2
4323,0.19
4400,0.18
4568,0.17
4693,0.16
4798,0.15
4919,0.14
5016,0.13
5138,0.12
5279,0.11
5387,0.1
5530,0.09
5716,0.08
5983,0.07
6286,0.06
6672,0.05
7070,0.04
7892,0.03
10122,0.02
16235,0.01
62026,-0.0
