	taxon	present	absent	90%	75%	50%	25%	10%
0	19_A_stephensi	7376	1503	2204	3853	5970	7148	7359
1	8_A_dirus	7831	1048	2453	4146	6332	7579	7811
2	6_A_culici	7558	1321	1629	3251	5665	7199	7531
3	15_A_merus	8300	579	2723	4593	6819	8073	8281
4	17_A_quadriannulatus	7948	931	2152	3855	6249	7644	7923
5	21_C_quinquefasciatus	4969	3910	898	1801	3328	4543	4927
6	11_A_funestris	7368	1511	1881	3533	5762	7058	7340
7	3_A_albimanus	7447	1432	2263	3842	6008	7226	7429
8	14_A_melas	8056	823	2095	3749	6179	7726	8026
9	5_A_chrystyi	8103	776	2320	4156	6477	7813	8078
10	12_A_gambiae	6563	2316	1562	2838	4910	6245	6535
11	1_A_aegypti	4958	3921	475	1108	2646	4326	4910
12	9_A_epiroctus	6966	1913	1325	2545	4723	6455	6918
13	2_A_albimanus	7832	1047	3135	4847	6755	7673	7825
14	18_A_sinensis	5773	3106	1517	2733	4470	5532	5747
15	16_A_minimus	7928	951	2537	4368	6587	7730	7920
16	20_D_melanogaster	5097	3782	1903	3062	4370	4988	5080
17	13_A_maculatus	7996	883	2190	3974	6330	7719	7977
18	10_A_farauti	7972	907	2608	4376	6614	7790	7955
19	7_A_darlingi	6774	2105	2210	3661	5518	6544	6754
20	4_A_atroparvus	4827	4052	466	931	2067	3678	4623
